001	00001	20201231	0011303005	1	400	0021107005	00000000234232056	C
001	00001	20201231	0011303005	1	205	0021107005	00000000037963268	C
001	00001	20201231	0011303005	200	205	0021107005	00000000001076874	C
001	00001	20201231	0011303005	200	1	0021107005	00000000000061191	C
001	00001	20201231	0011303005	400	1	0021107005	00000000022404347	C
001	00001	20201231	0011303005	205	1	0021107005	00000000010138719	C
001	00001	20201231	0011303005	205	200	0021107005	00000000000973901	C
001	00001	20201231	0021107005	400	1	0011303005	00000000234232056	D
001	00001	20201231	0021107005	205	1	0011303005	00000000037963268	D
001	00001	20201231	0021107005	205	200	0011303005	00000000001076874	D
001	00001	20201231	0021107005	1	200	0011303005	00000000000061191	D
001	00001	20201231	0021107005	1	400	0011303005	00000000022404347	D
001	00001	20201231	0021107005	1	205	0011303005	00000000010138719	D
001	00001	20201231	0021107005	200	205	0011303005	00000000000973901	D
001	00001	20201231	0011303007	1	200	0021107006	00000000010515483	C
001	00001	20201231	0021107006	200	1	0011303007	00000000010515483	D
001	00001	20201231	0011303008	1	400	0021107006	00000000980927498	C
001	00001	20201231	0021107006	400	1	0011303008	00000000980927498	D
001	00001	20201231	0011303009	1	205	0021107006	00000000100539136	C
001	00001	20201231	0021107006	205	1	0011303009	00000000100539136	D
001	00001	20201231	0011303008	200	400	0021107007	00000000000383107	C
001	00001	20201231	0021107007	400	200	0011303008	00000000000383107	D
001	00001	20201231	0011303009	200	205	0021107007	00000000001074109	C
001	00001	20201231	0021107007	205	200	0011303009	00000000001074109	D
001	00001	20201231	0011303009	400	205	0021107008	00000000069652539	C
001	00001	20201231	0021107008	205	400	0011303009	00000000069652539	D
001	00001	20201231	0012106001	1	205	0021107003	00000000694000000	C
001	00001	20201231	0012106001	200	1	0021107003	00000000030000000	C
001	00001	20201231	0012106001	400	1	0021107003	00000001890000000	C
001	00001	20201231	0021107003	205	1	0012106001	00000000694000000	D
001	00001	20201231	0021107003	1	200	0012106001	00000000030000000	D
001	00001	20201231	0021107003	1	400	0012106001	00000001890000000	D
001	00001	20201231	0012202022	1	200	0033101009	00000000226308693	C
001	00001	20201231	0012202023	1	205	0033101009	00000000103725894	D
001	00001	20201231	0012202024	1	400	0033101009	00000001565996298	C
001	00001	20201231	0033101009	200	1	0012202022	00000000226308693	D
001	00001	20201231	0033101009	205	1	0012202023	00000000103725894	C
001	00001	20201231	0033101009	400	1	0012202024	00000001565996298	D
001	00001	20201231	0023101001	200	1	0033101009	00000000025000000	D
001	00001	20201231	0023101001	400	1	0033101009	00000000360000000	D
001	00001	20201231	0023101001	205	1	0033101009	00000000261100000	D
001	00001	20201231	0033101009	1	200	0023101001	00000000025000000	C
001	00001	20201231	0033101009	1	400	0023101001	00000000360000000	C
001	00001	20201231	0033101009	1	205	0023101001	00000000261100000	C
001	00001	20201231	0023101002	205	1	0033101009	00000000021596500	C
001	00001	20201231	0033101009	1	205	0023101002	00000000021596500	D
001	00001	20201231	0023203004	200	1	0033101009	00000000201308639	D
001	00001	20201231	0023203004	400	1	0033101009	00000001205995934	D
001	00001	20201231	0023203004	205	1	0033101009	00000000343228976	C
001	00001	20201231	0033101009	1	200	0023203004	00000000201308639	C
001	00001	20201231	0033101009	1	400	0023203004	00000001205995934	C
001	00001	20201231	0033101009	1	205	0023203004	00000000343228976	D
001	00001	20201231	0033101009	1	200	0012202022	00000000113472741	D
001	00001	20201231	0033101009	1	400	0012202024	00000000864322493	D
001	00001	20201231	0033101009	1	205	0012202023	00000000468380409	D
